Interprise,Name,Age,Since,Position,Biography,,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Jaime;SaenzdeTejadaPulido",49,2016,                                 Finance Director," 					 							Mr. Jaime Saenz de Tejada Pulido serves as Finance Director at Bank Bilbao Vizcaya Argentaria, S.A. since 2016. Prior to this, he was Director of Strategy and Finance at the Company from March 21, 2014. He was Director of Spain and Portugal Business Unit of the Company from May 16, 2012 until March 21, 2014. Between 2007 and 2010, he worked as Central Area Manager (Madrid & Castilla La Mancha), BBVA. In addition, he acted as Managing Director, BBVA-Banco Continental, Lima from 2005 till 2007, Director of BBVA Corporate Bank Office New York from 2003 till 2005, Director of BBVA Office New York from 2000 till 2003 and Director of BBVA Office London from 1998 till 2000. Between 1995 and 1998, he was Director of Commercial Department, Banco Exterior de America. In addition, he acted as Deputy Manager of Commercial Department of BEX America. He holds a Law degree, as well as Business Development and Economics degree from Universidad Pontificia Comillas.",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Ricardo;GomezBarredo",53,null,                                 Director of Accounting and Supervisors Unit," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Eduardo;ArbizuLostao",54,2016,                                 Chief Legal and Compliance Officer," 					 							Mr. Eduardo Arbizu Lostao serves as Chief Legal and Compliance Officer at Bank Bilbao Vizcaya Argentaria, S.A. Prior to this, he was Head of Legal Services, Audit and Compliance at the Company. He has acted as Head of Legal Department of BBVA since 2002. Between 2000 and 2002, he acted as Managing Director of Barclays Retail Operation in Continental Europe (France, Spain, Portugal, Italy and Greece). From 1997 till 2000, he served as Managing Director and Country Manager at Barclays Spain; Managing Director of Industrial and Real Estate Holdings BBV. In addition, he acted as Secretary General and General Counsel of Barclays Bank in Spain from 1992 till 1997. In 1992, he held several positions at Spain’s Justice Department. Moreover, he has worked as Teacher of Administrative Law at Universidad Pontificia de Comillas. Between 1988 and 1992, he served as Spanish State lawyer. He graduated in Law with distinction and was qualified as State Lawyer.",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Rafael;SalinasMartinezdeLecea",null,null,                                 Global Director of Risk Management," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							JoseManuel;Gonzalez-ParamoMartinez-Murillo",59,2016,"                                 Executive Director, Global Director of Economics, Regulation and Public Affairs"," 					 							Mr. Jose Manuel Gonzalez-Paramo Martinez-Murillo serves as an Executive Director of Bank Bilbao Vizcaya Argentaria, S.A. He is also Global Director of Economics, Regulation and Public Affairs at the Company. He has held positions of international relevance in monetary policy, in the private and academic sectors. From 2004 to 2012 he was a member of the board of directors and of the executive board of the European Central Bank (ECB). During his time at the ECB he was head of market operations and instrumentation of monetary policy. He also performed other functions at the ECB including research & studies, risk management, statistics & information systems, and banknotes. Prior to his appointment at the ECB he was a member of the governing council and the executive commission of the Bank of Spain from 1994 to 2004. He is professor of Economics at the Universidad Complutense in Madrid since 1988 and a lecturer at IESE Business School since 2012. He holds a Doctorate in Philosophy degree in Economics and Masters degree in Philosophy and Economics from Columbia University, New York, and a Doctorate in Economics from the Universidad Complutense in Madrid. Since 2013 he is the chairman of Data-Warehouse GmbH.",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Gloria;CouceiroJusto",null,2016,"                                 Director of Investor Relations, IR Contact Officer"," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Juan;AsuaMadariaga",55,2012,                                 Director of Corporate and Investment Banking," 					 							Mr. Juan Asua Madariaga serves as Director of Corporate and Investment Banking of Bank Bilbao Vizcaya Argentaria, S.A. Previously, he acted as Director of Spain and Portugal Business Unit of the Bank since June 22, 2007, to May 16, 2012. Before that, he acted as Director of Global Corporate Banking and Capital Markets of the Bank, as well as he has been Member of the Bank's Management Committee since 2006. Moreover, he served as Director of the Real Estate unit of BBV from 1996 till 1997. In addition, he acted as Managing Director of Corporacion Financiera Banesto between 1994 and 1996. Since 1986, he has served as Founding Member of Simec. He graduated in Industrial Engineering from University of the Basque Country and a Masters of Business Administration degree from Instituto de Estudios Superiores de la Empresa (IESE). In addition, he holds a Masters degree in Finance from Johnson School of Management.",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							JoseLuis;deLosSantosTejero",null,null,                                 Director of Internal Audit," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Cristina;dePariasHalcon",51,2016,                                 Director of Spain Business Unit," 					 							Ms. Cristina de Parias Halcon serves as Director of Spain Business Unit of Bank Bilbao Vizcaya Argentaria, S.A. She was also Director of Portugal Business Unit until 2016. She also acts as Member of the Executive Committe within the Company. In addition, she acted as Central Area Manager of BBVA (2011-2014), Director to Digital Business, Innovation and Development (2008-2011), Director to Consumer Financing (2007-2008), Associate Director Uno-e, Bank Online BBVA Group (2004-2007), Director Mean of Payments (2000-2004), and Manager Personal Banking (1998-2000). In the past, she served as Director of Personal Banking Citigold at Citibank (1996-1998), Director of Marketing to existing customers at Citibank (1995-1996), among others. She holds a degree in Law from Universidad de Sevilla and a Masters of Business Administration degree from IESE.",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Ricardo;ForcanoGarcia",null,null,                                 Director of Talent & Culture Unit," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							RicardoEnrique;MorenoGarcia",null,null,                                 Director of Engineering Unit," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Eduardo;OsunaOsuna",47,null,                                 Director of Mexico Business Unit," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							FranciscoJavier;RodriguezSoler",null,null,                                 Director of Strategy and M&A," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Jorge;Saenz-AzcunagaCarranza",null,null,                                 Director of Country Monitoring Unit," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Derek;White",null,null,                                 Director of Customer Solutions Unit," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							Domingo;Armengol",null,2016,                                 General Secretary," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							MariadelRosario;MiratSantiago",null,null,                                 Assistant Secretary," 					 							",,,,,,,,,
"Banco Bilbao Vizcaya Argentaria","							JoseMiguel;AndresTorrecillas",null,2015,                                 Lead Independent Director," 					 							Mr. Jose Miguel Andres Torrecillas serves as Lead Independent Director of Banco Bilbao Vizcaya Argentaria, S.A. since March 13, 2015. He also acts as Chairman of Audit Committee and Member of Risk and Nominating Committee within the Company. From 2004 to 2014, he served as Chairman of Ernst & Young, Spain. He was Managing Director of the Audit and Advisory practices at Ernst & Young, Italy and Portugal. He graduated in Economic and Business Sciences from the Complutense University of Madrid and postgraduate studies in Management from Instituto de Estudios Superiores de la Empresa (IESE), Harvard University and IMD.",,,,,,,,,
